,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,cname,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
153,0.78100002,SYC,4,9583.3203,0.0900000035762787,Seychelles,11.199999809265142,9.7200003,26.700001,3.369816780090332,SubSaharian
178,0.68800002,TKM,1,13217.39,,Turkmenistan,,2.9000001,,2.067386150360107,EastEurope
89,,PRK,6,1727.8199,,"Korea, North",,3.3499999,,,EastAsia
189,0.69700003,UZB,1,7370.7202,29.74600028991699,Uzbekistan,,2.8299999,13.3,5.838521957397461,EastEurope
154,0.43099999,SLE,4,979.9500099999999,6.23199987411499,Sierra Leone,117.4000015258789,3.78,34.400002,11.0899019241333,SubSaharian
121,0.92299998,NLD,5,42258.352,16.86499977111816,Netherlands,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031,WesternDem
33,0.764,LKA,8,5466.8701,20.54100036621094,Sri Lanka,8.300000190734862,2.3699999,14.1,3.503350019454956,SouthAsia
108,0.51300001,MRT,4,2223.01,3.36899995803833,Mauritania,64.80000305175781,0.0099999998,22.299999,3.772699117660523,SubSaharian
64,0.92400002,DEU,5,39486.699,80.98300170898438,Germany,3.4000000953674316,11.03,30.700001,11.297000885009771,WesternDem
180,0.48800001,UGA,4,1343.45,37.599998474121094,Uganda,45.400001525878906,10.22,10.3,7.222136974334718,SubSaharian
15,0.89499998,BEL,5,33764.711,11.18099975585938,Belgium,3.4000000953674316,12.6,23.9,10.59475135803223,WesternDem
95,0.495,LSO,4,1539.79,,Lesotho,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
79,0.64899999,IRQ,3,4178.2598,32.57799911499023,Iraq,,0.17,,5.538873195648193,NorthAfrica
87,0.741,JOR,3,5188.9199,6.675000190734862,Jordan,16.39999961853027,0.41,38.400002,7.452995777130128,NorthAfrica
26,0.40599999,BDI,4,663.5700099999999,,Burundi,66.9000015258789,4.1599998,,7.535565376281737,SubSaharian
41,0.42500001,COD,4,324.16,,"Congo, Democratic Republic",74.5,1.8200001000000001,,4.328233718872069,SubSaharian
125,0.35100001,NER,4,644.53998,,Niger,,0.15000001,8.3999996,5.821299076080322,SubSaharian
25,0.55199999,MMR,7,5733.3701,51.41899871826172,Myanmar,41.099998474121094,0.69999999,20.0,2.275754690170288,SouthEastAsia
177,0.764,TUR,3,16900.711,77.69599914550781,Turkey,12.199999809265142,1.45,27.0,5.41495943069458,NorthAfrica
80,0.92000002,IRL,5,46422.07,4.620999813079834,Ireland,3.4000000953674316,10.75,23.200001,7.783196449279785,WesternDem
55,0.41800001,ERI,4,1007.28,,Eritrea,,0.62,,3.338293075561523,SubSaharian
100,0.84600002,LTU,1,17559.75,2.931999921798706,Lithuania,4.400000095367432,15.19,30.1,6.552116870880128,EastEurope
132,0.78500003,PAN,2,15137.04,3.788000106811523,Panama,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426,Latam
106,0.43799999,MLI,4,1063.26,14.854000091552729,Mali,79.5999984741211,0.61000001,18.6,6.862166404724121,SubSaharian
141,0.85500002,QAT,3,104049.44,2.045000076293945,Qatar,6.300000190734862,1.15,,2.18706226348877,NorthAfrica
181,0.74800003,UKR,1,9326.7197,42.7599983215332,Ukraine,9.199999809265137,8.0600004,30.700001,7.095736026763916,EastEurope
35,0.84500003,CHL,2,15519.08,17.81900024414063,Chile,7.800000190734862,7.1599998,38.900002,7.785857677459718,Latam
24,0.792,BGR,1,13967.45,7.202000141143799,Bulgaria,10.5,12.03,36.799999,8.442913055419924,EastEurope
96,0.82800001,LVA,1,16583.67,2.000999927520752,Latvia,7.5999999046325675,10.37,35.900002,5.880693435668945,EastEurope
82,0.88099998,ITA,5,32931.672,60.78300094604492,Italy,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283,WesternDem
163,0.42100000000000004,SSD,4,,,South Sudan,,,,2.738420724868774,SubSaharian
128,0.63700002,FSM,9,2624.05,0.1019999980926514,Micronesia,,1.58,,13.7069149017334,Pacific
187,0.39899999,BFA,4,1095.96,16.5,Burkina Faso,65.80000305175781,4.6399999,19.1,4.960263252258301,SubSaharian
193,0.57599998,ZMB,4,1916.79,,Zambia,56.400001525878906,2.4100001,15.9,4.986764907836914,SubSaharian
137,0.852,POL,1,19990.939,38.01800155639648,Poland,4.300000190734863,10.71,29.4,6.3502464294433585,EastEurope
131,0.54799998,PAK,8,2855.55,186.19000244140634,Pakistan (1971-),69.30000305175781,0.039999999,22.6,2.613916397094727,SouthAsia
